census_tract,total_people,parks,shelter_beds,building_permits,foreclosures
206200,685,18,930,7851,14
206300,2661,2,4305,7243,3
207101,11,18,0,4670,12
207102,205,18,0,4670,12
207103,5,18,0,4670,12
207301,252,18,196,9704,15
207302,93,18,0,9704,15
207400,58,18,0,4670,12
207501,5,18,0,4670,12
207502,26,18,0,10534,14
207710,123,5,110,17485,21
207900,27,4,0,3995,9
208000,10,38,0,18032,84
208301,13,19,0,7589,63
208302,112,19,0,7589,63
208401,11,33,0,14824,79
208402,42,19,0,7589,63
208501,31,19,0,7589,63
208502,16,13,0,1462,7
208610,85,34,96,14313,121
208620,27,32,102,9051,70
208710,10,13,116,1462,7
208720,92,13,2533,1462,7
208801,36,13,0,1462,7
208802,10,13,0,1462,7
208902,12,14,0,7235,16
208903,169,13,418,1462,7
208904,7,14,92,7235,16
209102,187,1,147,5773,9
209103,11,1,0,5773,9
209104,100,1,0,5773,9
209200,145,1,33,5773,9
209300,68,5,111,9768,18
209401,61,13,58,1462,7
209402,18,13,25,1462,7
209403,36,14,20,7235,16
209510,25,7,0,2824,54
209520,21,11,0,6819,63
209810,9,7,0,2824,54
209820,25,11,0,6819,63
210010,40,4,0,3995,9
211000,7,19,0,17473,121
211120,23,7,0,5598,42
211121,5,2,0,5262,51
211122,35,6,0,7245,69
211201,8,2,0,5262,51
211202,6,2,0,5262,51
211310,4,2,0,5262,51
211320,10,2,0,5262,51
211410,0,2,0,5262,51
211420,9,6,0,7245,69
211500,4,2,22,5262,51
211701,4,7,0,5598,42
211703,5,4,0,1983,18
211704,5,7,0,5598,42
211802,24,7,0,5598,42
211803,2,4,0,1983,18
211804,4,4,0,1983,18
211910,24,4,23,1983,18
211921,5,4,0,1983,18
211922,0,4,0,1983,18
212101,29,7,0,5598,42
212102,13,7,0,5598,42
212202,18,7,0,5119,76
212203,11,0,0,2295,22
212204,20,0,0,2295,22
212303,11,3,1397,3615,24
212304,3,3,0,3615,24
212305,9,7,22,5119,76
212306,4,7,0,5119,76
212410,5,3,234,3615,24
212420,10,7,54,5119,76
212501,2,7,0,5119,76
212502,19,10,0,6439,78
212610,10,3,0,3615,24
212620,2,6,0,9163,157
212701,1,6,0,9163,157
212702,2,9,0,10483,159
212800,14,6,0,6868,135
212900,8,6,0,6868,135
213100,12,13,0,9692,189
213201,13,7,0,2824,54
213202,10,7,0,2824,54
213310,5,7,0,2824,54
213320,29,7,72,2824,54
213401,1,7,0,2824,54
213402,13,7,2,2824,54
214000,3,10,0,6613,28
214100,2,12,0,11875,79
214400,0,10,0,6613,28
214501,18,10,0,6613,28
214502,0,10,0,6613,28
214503,7,10,0,6613,28
214600,15,1,0,5845,22
214700,13,11,0,12458,50
214800,11,1,0,5845,22
214901,2,1,0,8978,47
214902,8,1,0,5845,22
215101,5,10,0,6613,28
215102,4,10,0,6613,28
216100,0,16,0,15776,185
